region,scenario,profile_class,activation_rule,activation_logic,dry_mode_wue_l_per_kwh,evap_multiplier,evap_activation_dry_bulb_c,evap_activation_wet_bulb_c,source_basis,notes
DE,low,closed_loop_low_water,never,any,0.005,0.0,,,Lower-bound low-water scenario informed by Microsoft zero-water and Google air-cooling disclosures,Near-zero direct water during normal operations
DE,base,hybrid_economized,threshold,any,0.030,0.35,26,18,"Base hybrid/economized scenario calibrated to Microsoft outside-air, DOE economizer, and NREL hybrid-cooling evidence",Evaporative assist activates only in warmer conditions
DE,high,wet_tower,always,any,0.000,1.00,,,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
FR,low,closed_loop_low_water,never,any,0.005,0.0,,,Lower-bound low-water scenario informed by Microsoft zero-water and Google air-cooling disclosures,Near-zero direct water during normal operations
FR,base,hybrid_economized,threshold,any,0.030,0.35,26,18,"Base hybrid/economized scenario calibrated to Microsoft outside-air, DOE economizer, and NREL hybrid-cooling evidence",Evaporative assist activates only in warmer conditions
FR,high,wet_tower,always,any,0.000,1.00,,,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
ES,low,closed_loop_low_water,never,any,0.008,0.0,,,Lower-bound low-water scenario informed by Microsoft zero-water and Google air-cooling disclosures,Hotter-climate lower bound remains low but nonzero
ES,base,hybrid_economized,threshold,any,0.040,0.45,24,16,Base hybrid/economized scenario calibrated to hotter-climate operator evidence and DOE/NREL hybrid cooling guidance,Evaporative assist activates earlier than in cooler regions
ES,high,wet_tower,always,any,0.000,1.00,,,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
IT-NO,low,closed_loop_low_water,never,any,0.005,0.0,,,Lower-bound low-water scenario informed by Microsoft zero-water and Google air-cooling disclosures,Near-zero direct water during normal operations
IT-NO,base,hybrid_economized,threshold,any,0.030,0.40,25,17,"Base hybrid/economized scenario calibrated to Microsoft outside-air, DOE economizer, and NREL hybrid-cooling evidence",Intermediate activation thresholds for Northern Italy conditions
IT-NO,high,wet_tower,always,any,0.000,1.00,,,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
SE,base,hybrid_economized,threshold,any,0.020,0.30,30,22,"Base hybrid/economized scenario for sub-Arctic Luleå: free-cooling nearly year-round, high evap thresholds rarely crossed",Evaporative assist seldom fires in cold Nordic climate
PL,base,hybrid_economized,threshold,any,0.030,0.35,26,18,"Base hybrid/economized scenario for continental Warsaw with warm summers, calibrated like DE outside-air/economizer evidence",Evaporative assist activates only in warmer conditions
ERCO,base,hybrid_economized,threshold,any,0.040,0.45,24,16,"US ERCOT (Dallas TX): hot humid summers, hotter-climate thresholds like ES",Evaporative assist fires readily in Texas heat
CISO,base,hybrid_economized,threshold,any,0.040,0.45,24,16,"US CAISO (Santa Clara CA): hot dry summers, hotter-climate thresholds like ES",Evaporative assist activates earlier in California heat
BPAT,base,hybrid_economized,threshold,any,0.030,0.40,25,17,"US BPA/Pacific-NW (The Dalles OR): warm dry summers, intermediate thresholds like IT-NO",Evaporative assist activates in warmer summer hours
